0,1,1
20,2,3
40,3,3
60,1,1
80,3,3
100,2,1
120,2,3
140,2,2
160,2,1
180,2,2
200,2,1
220,1,2
240,1,1
260,1,2
280,3,3
300,3,3
320,2,1
340,3,1
360,3,1
380,1,1
400,1,2
420,3,3
440,1,3
460,1,3
480,3,2
500,3,2
520,3,3
540,3,3
560,2,2
580,1,1
600,2,3
620,3,3
640,1,1
660,3,3
680,2,1
700,2,2
720,1,2
740,3,1
760,2,1
780,1,1
800,2,1
820,1,1
840,1,2
860,3,3
880,3,3
900,2,1
920,3,1
940,2,1
960,1,1
980,1,2
1000,3,3
1020,1,3
1040,1,3
1060,2,2
1080,3,2
1100,3,3
1120,3,3
1140,2,2
1160,1,2
1180,1,3
1200,3,3
1220,1,1
1240,3,3
1260,3,1
1280,2,2
1300,1,2
1320,3,1
1340,2,1
1360,1,2
1380,2,1
1400,1,1
1420,1,2
1440,3,3
1460,3,3
1480,3,1
1500,2,1
1520,1,2
1540,2,1
1560,1,3
1580,3,2
1600,1,3
1620,1,3
1640,1,2
1660,3,2
1680,3,3
1700,3,3
1720,2,2
1740,1,1
1760,1,3
1780,3,3
1800,1,2
1820,3,1
1840,3,2
1860,2,2
1880,2,2
1900,2,1
1920,2,1
1940,1,2
1960,2,1
1980,2,1
2000,2,2
2020,3,3
2040,3,3
2060,2,2
2080,2,1
2100,1,3
2120,3,1
2140,1,3
2160,3,2
2180,2,3
2200,1,3
2220,1,1
2240,3,2
2260,3,3
2280,3,3
2300,3,2
2320,1,1
2340,1,3
2360,2,2
2380,1,2
2400,3,1
2420,3,2
2440,3,2
2460,2,3
2480,2,1
2500,3,1
2520,1,1
2540,2,1
2560,2,1
2580,1,2
2600,2,3
2620,3,3
2640,2,2
2660,1,2
2680,2,3
2700,3,1
2720,1,3
2740,3,2
2760,2,3
2780,1,3
2800,2,2
2820,3,2
2840,3,3
2860,2,3
2880,3,2
2900,1,1
2920,1,2
2940,1,2
2960,2,3
2980,3,1
3000,3,2
3020,2,2
3040,2,3
3060,2,1
3080,3,2
3100,1,1
3120,2,1
3140,2,1
3160,1,2
3180,1,2
3200,3,3
3220,2,3
3240,1,2
3260,2,2
3280,3,1
3300,1,2
3320,2,2
3340,2,3
3360,1,3
3380,2,2
3400,3,2
3420,3,3
3440,2,3
3460,3,2
3480,1,1
3500,1,2
3520,1,2
3540,2,3
3560,3,1
3580,3,3
3600,2,2
3620,2,3
3640,2,1
3660,3,3
3680,1,1
3700,3,1
3720,2,1
3740,1,1
3760,1,2
3780,3,3
3800,1,2
3820,1,2
3840,3,1
3860,3,1
3880,1,1
3900,2,2
3920,2,3
3940,1,3
3960,2,3
3980,3,2
4000,3,3
4020,2,3
4040,3,1
4060,1,1
4080,1,2
4100,2,2
4120,3,3
4140,3,1
4160,3,3
4180,2,2
4200,3,3
4220,2,1
4240,3,3
4260,1,1
4280,3,1
4300,1,1
4320,1,1
4340,1,2
4360,3,3
4380,1,3
4400,1,1
4420,2,1
4440,3,2
4460,1,1
4480,1,2
4500,3,3
4520,1,3
4540,2,3
4560,3,2
4580,3,3
4600,2,2
4620,3,1
4640,1,1
4660,1,2
4680,2,2
4700,3,3
4720,2,1
4740,3,3
4760,2,1
4780,3,3
4800,2,1
4820,3,3
4840,1,1
4860,2,1
4880,1,2
4900,1,2
4920,1,2
4940,3,3
4960,2,3
4980,2,1
5000,2,1
5020,3,1
5040,1,1
5060,1,2
5080,2,3
5100,1,3
5120,2,3
5140,3,2
5160,3,2
5180,2,2
5200,3,1
5220,2,2
5240,1,2
5260,2,2
5280,3,3
5300,2,1
5320,3,3
5340,2,1
5360,2,3
5380,2,1
5400,2,2
5420,1,2
5440,2,1
5460,1,2
5480,1,2
5500,1,2
5520,3,3
5540,2,3
5560,2,1
5580,2,1
5600,3,1
5620,1,1
5640,1,2
5660,3,3
5680,1,3
5700,2,3
5720,3,2
5740,2,2
5760,2,3
5780,3,2
5800,2,2
5820,1,1
5840,2,3
5860,3,3
5880,1,1
5900,3,3
5920,2,1
5940,2,3
5960,2,2
5980,2,1
6000,2,2
6020,2,1
6040,1,2
6060,1,1
6080,1,2
6100,3,3
6120,3,3
6140,2,1
6160,3,1
6180,3,1
6200,1,1
6220,1,2
6240,3,3
6260,1,3
6280,1,3
6300,3,2
6320,3,2
6340,3,3
6360,3,3
6380,2,2
6400,1,1
6420,2,3
6440,3,3
6460,1,1
6480,3,3
6500,2,1
6520,2,2
6540,1,2
6560,3,1
6580,2,1
6600,1,1
6620,2,1
6640,1,1
6660,1,2
6680,3,3
6700,3,3
6720,2,1
6740,3,1
6760,2,1
6780,1,1
6800,1,2
6820,3,3
6840,1,3
6860,1,3
6880,2,2
6900,3,2
6920,3,3
6940,3,3
6960,2,2
6980,1,2
7000,1,3
7020,3,3
7040,1,1
7060,3,3
7080,3,1
7100,2,2
7120,1,2
7140,3,1
7160,2,1
7180,1,2
7200,2,1
7220,1,1
7240,1,2
7260,3,3
7280,3,3
7300,3,1
7320,2,1
7340,1,2
7360,2,1
7380,1,3
7400,3,2
7420,1,3
7440,1,3
7460,1,2
7480,3,2
7500,3,3
7520,3,3
7540,2,2
7560,1,1
7580,1,3
7600,3,3
7620,1,2
7640,3,1
7660,3,2
7680,2,2
7700,2,2
7720,2,1
7740,2,1
7760,1,2
7780,2,1
7800,2,1
7820,2,2
7840,3,3
7860,3,3
7880,2,2
7900,2,1
7920,1,3
7940,3,1
7960,1,3
7980,3,2
8000,2,3
8020,1,3
8040,1,1
8060,3,2
8080,3,3
8100,3,3
8120,3,2
8140,1,1
8160,1,3
8180,2,2
8200,1,2
8220,3,1
8240,3,2
8260,3,2
8280,2,3
8300,2,1
8320,3,1
8340,1,1
8360,2,1
8380,2,1
8400,1,2
8420,2,3
8440,3,3
8460,2,2
8480,1,2
8500,2,3
8520,3,1
8540,1,3
8560,3,2
8580,2,3
8600,1,3
8620,2,2
8640,3,2
8660,3,3
8680,2,3
8700,3,2
8720,1,1
8740,1,2
8760,1,2
8780,2,3
8800,3,1
8820,3,2
8840,2,2
8860,2,3
8880,2,1
8900,3,2
8920,1,1
8940,2,1
8960,2,1
8980,1,2
9000,1,2
9020,3,3
9040,2,3
9060,1,2
9080,2,2
9100,3,1
9120,1,2
9140,2,2
9160,2,3
9180,1,3
9200,2,2
9220,3,2
9240,3,3
9260,2,3
9280,3,2
9300,1,1
9320,1,2
9340,1,2
9360,2,3
9380,3,1
9400,3,3
9420,2,2
9440,2,3
9460,2,1
9480,3,3
9500,1,1
9520,3,1
9540,2,1
9560,1,1
9580,1,2
9600,3,3
9620,1,2
9640,1,2
9660,3,1
9680,3,1
9700,1,1
9720,2,2
9740,2,3
9760,1,3
9780,2,3
9800,3,2
9820,3,3
9840,2,3
9860,3,1
9880,1,1
9900,1,2
9920,2,2
9940,3,3
9960,3,1
9980,3,3
10000,2,2
10020,3,3
10040,2,1
10060,3,3
10080,1,1
10100,3,1
10120,1,1
10140,1,1
10160,1,2
